	gc	code	CV	creation_dt	irrig_type	is_Perenial	irrigated
1144	0	1814	0.02132	60	73	0	2
1145	0	1206	0.23449	60	23	0	2
1146	0	1207	0.24538	60	37	0	2
1147	0	206	0.02396	60	23	0	2
1148	0	1205	0.02059	60	73	0	2
1149	0	1409	0.01092	1	61	1	2
1150	0	721	0.01268	60	23	0	2
1151	324875	11	0	0	0	0	0
1152	0	218	0.034	265	23	0	1
1153	0	701	0.0353	60	23	0	1
1154	0	201	0.01012	60	73	0	1
1155	0	1208	0.02254	60	37	0	1
1156	0	713	0.01624	60	23	0	1
1157	0	722	0.40887	60	73	0	1
1158	0	1206	0.22076	60	23	0	1
1159	0	1207	0.31745	60	37	0	1
1160	0	206	0.0151	60	73	0	1
1161	0	1205	0.06234	60	23	0	1
1162	0	721	0.02889	60	23	0	1
1163	324876	1	0	0	0	0	0
1164	0	1207	0.01146	60	0	0	0
1165	325794	0	0	0	0	0	0
1166	325795	0	0	0	0	0	0
1167	325796	0	0	0	0	0	0
1168	325797	0	0	0	0	0	0
1169	325798	4	0	0	0	0	0
1170	0	722	0.16007	60	73	0	1
1171	0	1206	0.18296	60	0	0	0
1172	0	1207	0.12968	60	0	0	0
1173	0	1205	0.01468	60	43	0	1
1174	325799	6	0	0	0	0	0
1175	0	722	0.28669	60	73	0	1
1176	0	1814	0.02984	60	73	0	1
1177	0	1206	0.24664	60	0	0	0
1178	0	1207	0.20152	60	0	0	0
1179	0	210	0.017	60	43	0	1
1180	0	1205	0.01667	60	23	0	1
1181	325800	9	0	0	0	0	0
1182	0	701	0.01704	60	43	0	2
1183	0	713	0.0287	60	43	0	2
1184	0	722	0.13155	60	73	0	2
1185	0	1814	0.01386	60	73	0	2
1186	0	1206	0.38538	60	0	0	2
1187	0	1207	0.0968	60	0	0	2
1188	0	210	0.021	60	73	0	2
1189	0	206	0.02851	60	73	0	2
1190	0	1205	0.05923	60	43	0	2
1191	325801	11	0	0	0	0	0
1192	0	218	0.026	265	73	0	2
1193	0	701	0.03409	60	43	0	2
1194	0	713	0.03257	60	23	0	2
1195	0	722	0.54865	60	73	0	2
1196	0	1814	0.02496	60	23	0	2
1197	0	1206	0.40776	60	23	0	2
1198	0	1207	0.34376	60	37	0	2
1199	0	210	0.015	60	73	0	2
1200	0	206	0.01062	60	73	0	2
1201	0	1205	0.03957	60	23	0	2
1202	0	721	0.04402	60	23	0	2
1203	325802	13	0	0	0	0	0
1204	0	218	0.035	265	73	0	2
1205	0	701	0.05618	60	23	0	2
1206	0	1827	0.01583	60	23	0	2
1207	0	1803	0.01069	60	23	0	2
1208	0	713	0.03108	60	23	0	2
1209	0	722	0.36823	60	73	0	2
1210	0	1814	0.04267	60	23	0	2
1211	0	1206	0.40938	60	0	0	2
1212	0	1207	0.28967	60	0	0	2
1213	0	210	0.017	60	73	0	2
1214	0	206	0.01792	60	73	0	2
1215	0	1205	0.04799	60	43	0	2
1216	0	721	0.03671	60	23	0	2
1217	325803	7	0	0	0	0	0
1218	0	1208	0.02399	60	0	0	2
1219	0	713	0.01565	60	43	0	2
1220	0	722	0.10863	60	23	0	2
1221	0	1206	0.30546	60	0	0	2
1222	0	1207	0.05034	60	0	0	2
1223	0	206	0.01172	60	73	0	2
1224	0	1205	0.09383	60	73	0	2
1225	325804	3	0	0	0	0	0
1226	0	1208	0.01053	60	0	0	0
1227	0	1206	0.06941	60	0	0	0
1228	0	1205	0.04812	60	73	0	1
1229	325805	0	0	0	0	0	0
1230	326720	0	0	0	0	0	0
1231	326721	0	0	0	0	0	0
1232	326722	0	0	0	0	0	0
1233	326723	0	0	0	0	0	0
1234	326724	0	0	0	0	0	0
1235	326725	3	0	0	0	0	0
1236	0	722	0.07976	60	73	0	1
1237	0	1206	0.05732	60	0	0	0
1238	0	1207	0.05789	60	0	0	0
1239	326726	7	0	0	0	0	0
1240	0	701	0.01652	60	23	0	2
1241	0	713	0.03638	60	23	0	2
1242	0	722	0.30827	60	23	0	2
1243	0	1814	0.04684	60	23	0	2
1244	0	1206	0.41331	60	0	0	2
1245	0	1207	0.21496	60	0	0	2
1246	0	1205	0.09844	60	23	0	2
1247	326727	7	0	0	0	0	0
1248	0	701	0.03524	60	23	0	2
1249	0	713	0.02488	60	23	0	2
1250	0	722	0.24441	60	73	0	2
1251	0	1206	0.49682	60	0	0	2
1252	0	1207	0.10012	60	0	0	2
1253	0	206	0.01196	60	73	0	2
1254	0	1205	0.05229	60	73	0	2
1255	326728	4	0	0	0	0	0
1256	0	713	0.01084	60	23	0	1
1257	0	722	0.04699	60	73	0	1
1258	0	1206	0.64566	60	0	0	0
1259	0	1205	0.03214	60	73	0	1
1260	326729	8	0	0	0	0	0
1261	0	218	0.015	265	73	0	2
1262	0	713	0.03304	60	23	0	2
1263	0	722	0.30546	60	73	0	2
1264	0	1814	0.01172	60	73	0	2
1265	0	1206	0.74926	60	0	0	2
1266	0	1207	0.10961	60	0	0	2
1267	0	206	0.01701	60	73	0	2
1268	0	1205	0.13986	60	73	0	2
1269	326730	8	0	0	0	0	0
1270	0	701	0.01584	60	23	0	1
1271	0	1208	0.03663	60	0	0	0
1272	0	713	0.03574	60	23	0	1
1273	0	722	0.28535	60	73	0	1
1274	0	1206	0.58098	60	0	0	0
1275	0	1207	0.14992	60	0	0	0
1276	0	206	0.01465	60	73	0	1
1277	0	1205	0.17816	60	73	0	1
1278	326731	6	0	0	0	0	0
1279	0	1208	0.02828	60	0	0	0
1280	0	713	0.01625	60	23	0	1
1281	0	722	0.13156	60	23	0	1
1282	0	1206	0.34469	60	0	0	0
1283	0	1207	0.04555	60	0	0	0
1284	0	1205	0.1487	60	23	0	1
1285	326732	0	0	0	0	0	0
1286	327647	0	0	0	0	0	0
1287	327648	0	0	0	0	0	0
1288	327649	0	0	0	0	0	0
1289	327650	0	0	0	0	0	0
1290	327651	0	0	0	0	0	0
1291	327652	1	0	0	0	0	0
1292	0	1206	0.01833	60	0	0	0
1293	327653	6	0	0	0	0	0
1294	0	713	0.0645	60	23	0	1
1295	0	722	0.08928	60	23	0	1
1296	0	1206	0.30587	60	0	0	0
