run_cell	gridcel	lat	lon	avg_t	annual_p	july_temp
1	331364	47.34375	-120.78125	4.7141	1094.5601	16.3502
1	331365	47.34375	-120.71875	4.4089	881.886	16.3621
1	332282	47.40625	-121.40625	4.2218	2853.8601	14.1605
1	332283	47.40625	-121.34375	2.796	2415.49	13.5811
1	332284	47.40625	-121.28125	2.796	2415.49	13.7378
1	332285	47.40625	-121.21875	3.5746	1816.3101	14.518
1	332286	47.40625	-121.15625	3.5746	1816.3101	14.5576
1	332287	47.40625	-121.09375	2.8323	1721.03	15.3924
1	332288	47.40625	-121.03125	2.8323	1721.03	14.5085
1	332289	47.40625	-120.96875	0.8501	1468.59	14.3829
1	332290	47.40625	-120.90625	0.8501	1468.59	14.5926
1	332291	47.40625	-120.84375	0.156	1180.64	14.4502
1	333211	47.46875	-121.34375	2.796	2415.49	13.3595
1	333212	47.46875	-121.28125	2.796	2415.49	12.9401
1	333213	47.46875	-121.21875	3.5746	1816.3101	14.1087
1	333214	47.46875	-121.15625	3.5746	1816.3101	14.4088
1	333215	47.46875	-121.09375	2.8323	1721.03	13.8645
1	333216	47.46875	-121.03125	2.8323	1721.03	14.1144
1	333217	47.46875	-120.96875	0.8501	1468.59	13.2246
1	334141	47.53125	-121.21875	1.4547	2397	12.505
1	334142	47.53125	-121.15625	1.4547	2397	12.521
1	334143	47.53125	-121.09375	1.3652	1950.78	13.4974
1	334144	47.53125	-121.03125	1.3652	1950.78	13.1189
1	320239	46.59375	-120.09375	7.7449	241.426	18.9944
1	321160	46.65625	-120.53125	9.2588	240.837	21.4828
1	321161	46.65625	-120.46875	8.5759	230.421	21.1484
1	321162	46.65625	-120.40625	8.5759	230.421	19.8684
1	321163	46.65625	-120.34375	7.8055	241.759	19.1749
1	321164	46.65625	-120.28125	7.8055	241.759	18.8532
1	321165	46.65625	-120.21875	7.5784	278.301	18.7745
1	321166	46.65625	-120.15625	7.5784	278.301	18.8873
1	321167	46.65625	-120.09375	8.7478	255.198	18.986
1	322087	46.71875	-120.59375	9.2588	240.837	20.6447
1	322088	46.71875	-120.53125	9.2588	240.837	21.0879
1	322089	46.71875	-120.46875	8.5759	230.421	20.4771
1	322090	46.71875	-120.40625	8.5759	230.421	19.6008
